VENTA;FECHA
446634836;27/09/2019 0:00
297746732;7/02/2019 0:00
347857758;21/01/2019 0:00
753833591;9/09/2018 0:00
276061847;25/02/2019 0:00
597689267;3/01/2018 0:00
779770952;28/10/2018 0:00
349476719;17/01/2018 0:00
349502982;2/05/2019 0:00
313094204;16/05/2019 0:00
808318454;19/05/2019 0:00
708627905;19/01/2019 0:00
767589392;1/12/2018 0:00
415201391;1/11/2019 0:00
268713606;11/03/2019 0:00
456994446;5/07/2018 0:00
699538019;2/01/2019 0:00
740669000;28/04/2018 0:00
323229564;7/09/2018 0:00
283524335;30/05/2018 0:00
269709447;12/03/2019 0:00
374966754;8/03/2018 0:00
721744899;5/01/2019 0:00
369782067;29/03/2019 0:00
715160690;6/01/2019 0:00
753847374;11/03/2018 0:00
246858005;19/02/2018 0:00
592334840;16/04/2019 0:00
415407767;19/01/2018 0:00
501836060;17/12/2018 0:00
303916290;27/03/2019 0:00
263315061;17/09/2018 0:00
712772108;18/03/2018 0:00
775238967;2/03/2019 0:00
306738192;27/05/2019 0:00
427454145;5/04/2019 0:00
882157656;13/07/2018 0:00
381935748;17/08/2018 0:00
363407204;5/09/2019 0:00
742606773;14/07/2018 0:00
825924288;22/09/2019 0:00
341081625;30/01/2019 0:00
384010278;16/08/2019 0:00
654301911;5/11/2018 0:00
284719023;23/04/2019 0:00
321198120;11/06/2019 0:00
373694141;31/01/2019 0:00
286800080;24/04/2019 0:00
788537496;25/12/2018 0:00
355133220;14/02/2019 0:00
712624470;1/09/2018 0:00
364771713;14/01/2019 0:00
379973202;16/07/2019 0:00
273526584;3/10/2018 0:00
663965885;19/03/2018 0:00
222839165;7/05/2018 0:00
277288886;9/05/2019 0:00
309216210;29/01/2019 0:00
293984163;30/08/2018 0:00
427201010;25/10/2019 0:00
687083079;11/02/2018 0:00
442018371;11/12/2018 0:00
645259349;17/03/2018 0:00
641892707;5/05/2018 0:00
324149189;10/09/2019 0:00
271765064;22/08/2018 0:00
446346503;26/03/2018 0:00
759430319;14/10/2019 0:00
438633234;3/12/2018 0:00
1013343441;22/12/2019 0:00
273251285;17/05/2018 0:00
769510371;22/06/2019 0:00
287838564;21/02/2018 0:00
261325838;14/11/2018 0:00
516753905;5/12/2019 0:00
751678820;10/08/2019 0:00
682101537;10/03/2018 0:00
324600935;13/04/2018 0:00
352721412;24/07/2019 0:00
316591497;29/04/2019 0:00
450668478;27/03/2018 0:00
740487120;23/12/2019 0:00
693243860;2/11/2019 0:00
780488738;16/11/2019 0:00
506046605;3/12/2019 0:00
332008725;11/09/2019 0:00
380721017;19/06/2018 0:00
384742886;11/10/2018 0:00
247837829;29/10/2018 0:00
527886681;4/12/2019 0:00
359883117;16/01/2018 0:00
427375716;3/05/2019 0:00
535234427;5/07/2019 0:00
356491788;24/08/2018 0:00
669486648;7/08/2018 0:00
324565916;15/11/2018 0:00
335193987;22/07/2019 0:00
914420327;1/09/2019 0:00
409961244;9/07/2019 0:00
507990395;10/12/2019 0:00
605159577;10/11/2018 0:00
559485188;5/01/2018 0:00
350565005;24/01/2019 0:00
410278505;6/11/2019 0:00
853957650;20/07/2019 0:00
343451660;12/08/2019 0:00
640164996;11/08/2018 0:00
284493351;6/02/2018 0:00
810737609;7/10/2018 0:00
393526481;7/06/2019 0:00
430426092;15/06/2018 0:00
312056193;22/05/2019 0:00
518623319;4/07/2019 0:00
289419402;3/09/2018 0:00
258251141;15/02/2018 0:00
735870812;12/05/2018 0:00
742398308;12/10/2019 0:00
309770022;3/10/2019 0:00
297820706;13/06/2018 0:00
435453771;12/01/2018 0:00
357126332;1/02/2018 0:00
438350124;31/05/2019 0:00
646890159;29/12/2017 0:00
279861113;11/02/2019 0:00
277486467;9/08/2018 0:00
448204035;21/05/2018 0:00
286147320;8/02/2018 0:00
265891253;5/09/2018 0:00
675032057;4/08/2018 0:00
398784032;28/09/2018 0:00
670055789;9/02/2019 0:00
309599643;28/10/2019 0:00
292756179;6/04/2018 0:00
677627082;24/12/2019 0:00
335023815;30/05/2019 0:00
304154673;22/01/2018 0:00
519373835;11/10/2019 0:00
